epoch, time    , train/box_loss, train/cls_loss, train/dfl_loss, metrics/precision(B), metrics/recall(B), metrics/mAP50(B), metrics/mAP50-95(B), val/box_loss, val/cls_loss, val/dfl_loss, lr/pg0     , lr/pg1     , lr/pg2
    1,  41.8621,        1.80398,        2.34595,        1.66067,              0.66558,           0.52745,          0.56164,             0.24933,      1.90847,      1.87131,      1.77175, 0.000664452, 0.000664452, 0.000664452
    2,  73.6712,        1.82361,        1.77   ,        1.67496,              0.6076 ,           0.58293,          0.5998 ,             0.27256,      1.87559,      1.56162,      1.72337, 0.00126523 , 0.00126523 , 0.00126523
    3, 105.499 ,        1.80491,        1.6184 ,        1.648  ,              0.71905,           0.57255,          0.66884,             0.31319,      1.80003,      1.42551,      1.63632, 0.0018     , 0.0018     , 0.0018
    4, 136.552 ,        1.77097,        1.53014,        1.62356,              0.76842,           0.5598 ,          0.68356,             0.34864,      1.72369,      1.32923,      1.62094, 0.001703   , 0.001703   , 0.001703
    5, 167.568 ,        1.72986,        1.42499,        1.58149,              0.80849,           0.64979,          0.74842,             0.37527,      1.6544 ,      1.30941,      1.56226, 0.001604   , 0.001604   , 0.001604
    6, 198.348 ,        1.68199,        1.33039,        1.54936,              0.69455,           0.62451,          0.66986,             0.31727,      1.7633 ,      1.72019,      1.61245, 0.001505   , 0.001505   , 0.001505
    7, 230.046 ,        1.64233,        1.27928,        1.52599,              0.82572,           0.68431,          0.78752,             0.42217,      1.61516,      1.08374,      1.51297, 0.001406   , 0.001406   , 0.001406
    8, 262.698 ,        1.62554,        1.23041,        1.50628,              0.78814,           0.72549,          0.81763,             0.43473,      1.60836,      1.14128,      1.47821, 0.001307   , 0.001307   , 0.001307
    9, 295.138 ,        1.59116,        1.17433,        1.46915,              0.80745,           0.71126,          0.80448,             0.45203,      1.55517,      1.00697,      1.4458 , 0.001208   , 0.001208   , 0.001208
   10, 325.871 ,        1.54801,        1.12974,        1.4445 ,              0.84037,           0.72256,          0.81512,             0.44369,      1.56552,      0.98975,      1.44503, 0.001109   , 0.001109   , 0.001109
   11, 356.798 ,        1.56346,        1.06422,        1.48841,              0.82637,           0.7559 ,          0.85202,             0.47604,      1.49142,      0.9456 ,      1.40243, 0.00101    , 0.00101    , 0.00101
   12, 387.172 ,        1.53483,        1.02557,        1.47424,              0.83252,           0.73039,          0.84502,             0.4757 ,      1.47124,      0.91487,      1.39401, 0.000911   , 0.000911   , 0.000911
   13, 417.54  ,        1.49561,        0.96578,        1.44389,              0.852  ,           0.74902,          0.85386,             0.4761 ,      1.49419,      0.92511,      1.39272, 0.000812   , 0.000812   , 0.000812
   14, 447.943 ,        1.4727 ,        0.93808,        1.43707,              0.86466,           0.75788,          0.8659 ,             0.49268,      1.45534,      0.87494,      1.37115, 0.000713   , 0.000713   , 0.000713
   15, 478.33  ,        1.44031,        0.90272,        1.40781,              0.83873,           0.79543,          0.88316,             0.50788,      1.43986,      0.81606,      1.33574, 0.000614   , 0.000614   , 0.000614
   16, 508.875 ,        1.40907,        0.85423,        1.37406,              0.82888,           0.78235,          0.8689 ,             0.48939,      1.45455,      0.86716,      1.35522, 0.000515   , 0.000515   , 0.000515
   17, 539.188 ,        1.38587,        0.83202,        1.36413,              0.88063,           0.81961,          0.89247,             0.52007,      1.41462,      0.78368,      1.35764, 0.000416   , 0.000416   , 0.000416
   18, 569.601 ,        1.35428,        0.80422,        1.3493 ,              0.86911,           0.81373,          0.89454,             0.53297,      1.39248,      0.77281,      1.32047, 0.000317   , 0.000317   , 0.000317
   19, 599.992 ,        1.32001,        0.77117,        1.32226,              0.89316,           0.82776,          0.90347,             0.54624,      1.34529,      0.73862,      1.30119, 0.000218   , 0.000218   , 0.000218
   20, 630.525 ,        1.30507,        0.75435,        1.31047,              0.88738,           0.83432,          0.91471,             0.5601 ,      1.3344 ,      0.7174 ,      1.28677, 0.000119   , 0.000119   , 0.000119
