epoch, time     , train/box_loss, train/cls_loss, train/dfl_loss, metrics/precision(B), metrics/recall(B), metrics/mAP50(B), metrics/mAP50-95(B), val/box_loss, val/cls_loss, val/dfl_loss, lr/pg0     , lr/pg1     , lr/pg2
    1,   57.8102,        1.46292,        2.20605,        1.53334,              0.70496,           0.59183,          0.63004,             0.43139,      1.24875,      1.74693,      1.43621, 0.00055459 , 0.00055459 , 0.00055459
    2,  112.279 ,        1.45961,        1.69627,        1.52156,              0.78898,           0.66624,          0.71266,             0.50731,      1.2654 ,      1.41359,      1.48288, 0.00107362 , 0.00107362 , 0.00107362
    3,  166.583 ,        1.4266 ,        1.58001,        1.50664,              0.79789,           0.6542 ,          0.7184 ,             0.51529,      1.25872,      1.31555,      1.50355, 0.00155597 , 0.00155597 , 0.00155597
    4,  220.08  ,        1.38383,        1.48058,        1.48171,              0.77198,           0.74813,          0.76556,             0.54596,      1.1891 ,      1.03736,      1.43329, 0.00150197 , 0.00150197 , 0.00150197
    5,  274.28  ,        1.34952,        1.4087 ,        1.45392,              0.81245,           0.72259,          0.75977,             0.56273,      1.13768,      1.03622,      1.40994, 0.00144696 , 0.00144696 , 0.00144696
    6,  327.744 ,        1.3028 ,        1.3381 ,        1.42143,              0.83274,           0.78164,          0.80909,             0.59398,      1.08066,      0.90643,      1.33215, 0.00139195 , 0.00139195 , 0.00139195
    7,  381.299 ,        1.29011,        1.30538,        1.41808,              0.84331,           0.80232,          0.81292,             0.61428,      1.03707,      0.82823,      1.31027, 0.00133693 , 0.00133693 , 0.00133693
    8,  435.542 ,        1.25537,        1.25007,        1.39809,              0.84679,           0.80598,          0.82822,             0.62712,      1.01014,      0.82047,      1.303  , 0.00128192 , 0.00128192 , 0.00128192
    9,  489.527 ,        1.23512,        1.22281,        1.38096,              0.84938,           0.8077 ,          0.82192,             0.63357,      0.9888 ,      0.77543,      1.28599, 0.00122691 , 0.00122691 , 0.00122691
   10,  543.405 ,        1.22434,        1.20386,        1.37291,              0.8444 ,           0.80573,          0.81865,             0.62713,      0.98139,      0.75937,      1.27094, 0.0011719  , 0.0011719  , 0.0011719
   11,  596.213 ,        1.19189,        1.16085,        1.34961,              0.86672,           0.81914,          0.83425,             0.64085,      0.97396,      0.73913,      1.28291, 0.00111689 , 0.00111689 , 0.00111689
   12,  649.292 ,        1.17785,        1.13847,        1.34701,              0.8754 ,           0.80961,          0.83325,             0.64515,      0.96442,      0.73022,      1.26644, 0.00106188 , 0.00106188 , 0.00106188
   13,  702.169 ,        1.16509,        1.1094 ,        1.33557,              0.86485,           0.83372,          0.84663,             0.66112,      0.91555,      0.68781,      1.23709, 0.00100687 , 0.00100687 , 0.00100687
   14,  754.874 ,        1.15068,        1.08912,        1.32518,              0.88655,           0.8172 ,          0.8415 ,             0.66069,      0.90671,      0.67977,      1.22863, 0.000951857, 0.000951857, 0.000951857
   15,  807.61  ,        1.13391,        1.06449,        1.31966,              0.87345,           0.82965,          0.84473,             0.66902,      0.89214,      0.6776 ,      1.23072, 0.000896846, 0.000896846, 0.000896846
   16,  860.384 ,        1.13235,        1.05382,        1.31416,              0.88446,           0.84076,          0.85707,             0.67508,      0.87635,      0.64891,      1.21215, 0.000841835, 0.000841835, 0.000841835
   17,  913.501 ,        1.12167,        1.04925,        1.31047,              0.87376,           0.84181,          0.85214,             0.66907,      0.89863,      0.65714,      1.22519, 0.000786824, 0.000786824, 0.000786824
   18,  966.858 ,        1.10312,        1.0116 ,        1.29361,              0.89235,           0.82364,          0.85393,             0.67574,      0.86336,      0.63775,      1.21319, 0.000731813, 0.000731813, 0.000731813
   19, 1019.63  ,        1.09668,        1.01058,        1.29542,              0.88172,           0.83821,          0.8539 ,             0.68073,      0.87014,      0.63248,      1.22194, 0.000676802, 0.000676802, 0.000676802
   20, 1072.36  ,        1.08908,        0.99906,        1.29003,              0.88403,           0.84067,          0.85913,             0.6798 ,      0.85762,      0.62635,      1.21039, 0.000621791, 0.000621791, 0.000621791
   21, 1125.46  ,        1.13201,        0.96562,        1.33142,              0.88318,           0.84135,          0.86379,             0.68376,      0.85442,      0.60811,      1.19979, 0.00056678 , 0.00056678 , 0.00056678
   22, 1177.89  ,        1.10474,        0.93338,        1.31126,              0.88535,           0.83606,          0.86289,             0.68203,      0.85037,      0.60109,      1.20151, 0.000511769, 0.000511769, 0.000511769
   23, 1230.36  ,        1.09926,        0.91612,        1.30663,              0.88568,           0.84228,          0.85564,             0.68229,      0.82784,      0.60564,      1.1856 , 0.000456758, 0.000456758, 0.000456758
   24, 1282.84  ,        1.08972,        0.89154,        1.30217,              0.88047,           0.84703,          0.86506,             0.69353,      0.82114,      0.59054,      1.17452, 0.000401747, 0.000401747, 0.000401747
   25, 1335.17  ,        1.06079,        0.86516,        1.27899,              0.87484,           0.84764,          0.85833,             0.69002,      0.80443,      0.57293,      1.16549, 0.000346736, 0.000346736, 0.000346736
   26, 1387.5   ,        1.05097,        0.85148,        1.27493,              0.8865 ,           0.85747,          0.86692,             0.69797,      0.80342,      0.55731,      1.16229, 0.000291725, 0.000291725, 0.000291725
   27, 1440.14  ,        1.0426 ,        0.82577,        1.26837,              0.8846 ,           0.85996,          0.87006,             0.70087,      0.80191,      0.54898,      1.16688, 0.000236714, 0.000236714, 0.000236714
   28, 1492.49  ,        1.02519,        0.806  ,        1.2512 ,              0.89141,           0.85398,          0.86853,             0.6998 ,      0.79516,      0.54741,      1.16246, 0.000181703, 0.000181703, 0.000181703
   29, 1544.77  ,        1.00487,        0.78092,        1.24136,              0.88646,           0.85701,          0.87086,             0.7019 ,      0.79815,      0.54987,      1.16444, 0.000126692, 0.000126692, 0.000126692
   30, 1597.12  ,        1.00215,        0.77063,        1.23695,              0.8944 ,           0.8577 ,          0.87331,             0.70727,      0.78527,      0.54514,      1.15536, 7.1681e-05 , 7.1681e-05 , 7.1681e-05
