epoch, time    , train/box_loss, train/cls_loss, train/dfl_loss, metrics/precision(B), metrics/recall(B), metrics/mAP50(B), metrics/mAP50-95(B), val/box_loss, val/cls_loss, val/dfl_loss, lr/pg0     , lr/pg1     , lr/pg2
    1,  106.368,        1.52883,        2.06822,        1.59758,              0.59401,           0.59041,          0.58442,             0.39371,      1.49922,      1.66901,      1.68272, 0.000555128, 0.000555128, 0.000555128
    2,  210.128,        1.54687,        1.75353,        1.61699,              0.73192,           0.70323,          0.70091,             0.47732,      1.39343,      1.30543,      1.61682, 0.00107414 , 0.00107414 , 0.00107414
    3,  318.412,        1.49757,        1.66536,        1.58611,              0.78196,           0.70626,          0.73559,             0.52694,      1.29984,      1.28063,      1.51825, 0.00155647 , 0.00155647 , 0.00155647
    4,  426.466,        1.43512,        1.5554 ,        1.53627,              0.7867 ,           0.72044,          0.75992,             0.55779,      1.22922,      1.07159,      1.46143, 0.00150197 , 0.00150197 , 0.00150197
    5,  535.549,        1.39533,        1.47472,        1.50505,              0.82219,           0.77953,          0.79904,             0.58508,      1.16638,      0.91588,      1.40133, 0.00144696 , 0.00144696 , 0.00144696
    6,  646.841,        1.35411,        1.40424,        1.47532,              0.82988,           0.77988,          0.79533,             0.60168,      1.12159,      0.91263,      1.40737, 0.00139195 , 0.00139195 , 0.00139195
    7,  758.012,        1.32125,        1.36058,        1.46214,              0.84344,           0.79289,          0.81342,             0.61429,      1.0881 ,      0.85699,      1.37201, 0.00133693 , 0.00133693 , 0.00133693
    8,  869.312,        1.31623,        1.32637,        1.44824,              0.85866,           0.79981,          0.81806,             0.61907,      1.07   ,      0.84891,      1.34618, 0.00128192 , 0.00128192 , 0.00128192
    9,  980.411,        1.27884,        1.27866,        1.42264,              0.85411,           0.81192,          0.83077,             0.63586,      1.03982,      0.80588,      1.32393, 0.00122691 , 0.00122691 , 0.00122691
   10, 1091.49 ,        1.26721,        1.25488,        1.41769,              0.84989,           0.81002,          0.82111,             0.62429,      1.00511,      0.79431,      1.31024, 0.0011719  , 0.0011719  , 0.0011719
   11, 1202.65 ,        1.23711,        1.21548,        1.39464,              0.87476,           0.81773,          0.83107,             0.63805,      1.01381,      0.76867,      1.30471, 0.00111689 , 0.00111689 , 0.00111689
   12, 1314    ,        1.216  ,        1.17625,        1.38046,              0.85996,           0.82493,          0.84003,             0.64539,      0.98261,      0.72229,      1.28445, 0.00106188 , 0.00106188 , 0.00106188
   13, 1419    ,        1.19935,        1.16159,        1.37217,              0.87042,           0.83235,          0.83075,             0.64285,      0.9753 ,      0.7294 ,      1.28563, 0.00100687 , 0.00100687 , 0.00100687
   14, 1522.18 ,        1.19138,        1.13607,        1.36697,              0.87506,           0.83936,          0.84894,             0.66163,      0.94831,      0.69253,      1.26145, 0.000951857, 0.000951857, 0.000951857
   15, 1625.08 ,        1.17198,        1.12999,        1.35869,              0.87248,           0.83099,          0.8412 ,             0.65441,      0.95416,      0.7167 ,      1.28487, 0.000896846, 0.000896846, 0.000896846
   16, 1727.89 ,        1.17141,        1.11888,        1.35217,              0.88645,           0.82082,          0.84856,             0.66458,      0.93514,      0.67961,      1.25721, 0.000841835, 0.000841835, 0.000841835
   17, 1830.71 ,        1.16377,        1.09555,        1.34545,              0.86857,           0.84574,          0.84854,             0.6662 ,      0.91811,      0.68249,      1.24319, 0.000786824, 0.000786824, 0.000786824
   18, 1933.52 ,        1.14305,        1.07021,        1.33557,              0.88598,           0.83233,          0.85327,             0.66833,      0.92438,      0.66918,      1.24331, 0.000731813, 0.000731813, 0.000731813
   19, 2036.49 ,        1.11652,        1.03078,        1.3171 ,              0.86967,           0.84623,          0.85201,             0.671  ,      0.92459,      0.65358,      1.26813, 0.000676802, 0.000676802, 0.000676802
   20, 2139.35 ,        1.10917,        1.03202,        1.3146 ,              0.88734,           0.84873,          0.85794,             0.68209,      0.88755,      0.63675,      1.22708, 0.000621791, 0.000621791, 0.000621791
   21, 2242.38 ,        1.1783 ,        1.00497,        1.37415,              0.88704,           0.85042,          0.85816,             0.6792 ,      0.90502,      0.63659,      1.2361 , 0.00056678 , 0.00056678 , 0.00056678
   22, 2345.07 ,        1.15665,        0.96782,        1.35476,              0.88107,           0.85508,          0.86724,             0.68465,      0.88649,      0.62791,      1.22661, 0.000511769, 0.000511769, 0.000511769
   23, 2447.99 ,        1.14605,        0.94365,        1.34679,              0.8946 ,           0.8427 ,          0.86016,             0.68639,      0.86996,      0.62117,      1.2229 , 0.000456758, 0.000456758, 0.000456758
   24, 2550.64 ,        1.12258,        0.92455,        1.33214,              0.89285,           0.8538 ,          0.87097,             0.69446,      0.84501,      0.59385,      1.20986, 0.000401747, 0.000401747, 0.000401747
   25, 2653.4  ,        1.10182,        0.89561,        1.31972,              0.89737,           0.85382,          0.86488,             0.69063,      0.83651,      0.59147,      1.19848, 0.000346736, 0.000346736, 0.000346736
   26, 2756.3  ,        1.09325,        0.88538,        1.30895,              0.89587,           0.85766,          0.87274,             0.69667,      0.82745,      0.58497,      1.19074, 0.000291725, 0.000291725, 0.000291725
   27, 2859.03 ,        1.07131,        0.86219,        1.29422,              0.89414,           0.86364,          0.86937,             0.6926 ,      0.82141,      0.58062,      1.18796, 0.000236714, 0.000236714, 0.000236714
   28, 2961.82 ,        1.06243,        0.8386 ,        1.28353,              0.90296,           0.85712,          0.87263,             0.69639,      0.80921,      0.57384,      1.18232, 0.000181703, 0.000181703, 0.000181703
   29, 3064.51 ,        1.04491,        0.82252,        1.27583,              0.89852,           0.85442,          0.87512,             0.70169,      0.79913,      0.5687 ,      1.18241, 0.000126692, 0.000126692, 0.000126692
   30, 3167.52 ,        1.03202,        0.80392,        1.26928,              0.89994,           0.86362,          0.87755,             0.70381,      0.80041,      0.5617 ,      1.17803, 7.1681e-05 , 7.1681e-05 , 7.1681e-05
