epoch, time    , train/box_loss, train/cls_loss, train/dfl_loss, metrics/precision(B), metrics/recall(B), metrics/mAP50(B), metrics/mAP50-95(B), val/box_loss, val/cls_loss, val/dfl_loss, lr/pg0    , lr/pg1    , lr/pg2
    1,  255.927,        1.82196,        2.28155,        1.83059,              0.47174,           0.34344,          0.3501 ,             0.15067,      2.02733,      2.11074,      2.01346, 0.00333133, 0.00333133, 0.00333133
    2,  505.701,        1.7752 ,        1.92713,        1.77741,              0.50754,           0.37771,          0.38108,             0.16473,      1.9942 ,      2.03502,      1.96819, 0.00649971, 0.00649971, 0.00649971
    3,  755.329,        1.84675,        2.06902,        1.84152,              0.45478,           0.32986,          0.31934,             0.13391,      2.06118,      2.30939,      2.17282, 0.00950309, 0.00950309, 0.00950309
    4, 1003.74 ,        1.87779,        2.15215,        1.8859 ,              0.5168 ,           0.38552,          0.39671,             0.17714,      1.97095,      1.99855,      2.00443, 0.0092575 , 0.0092575 , 0.0092575
    5, 1251.62 ,        1.82039,        2.02606,        1.83784,              0.55824,           0.40823,          0.44533,             0.20597,      1.90119,      1.86925,      1.91703, 0.00901   , 0.00901   , 0.00901
    6, 1499.18 ,        1.77347,        1.92429,        1.79465,              0.59966,           0.43308,          0.47964,             0.22748,      1.86442,      1.75055,      1.85932, 0.0087625 , 0.0087625 , 0.0087625
    7, 1746.9  ,        1.74532,        1.85413,        1.77397,              0.60912,           0.45981,          0.51034,             0.2395 ,      1.85728,      1.71539,      1.86133, 0.008515  , 0.008515  , 0.008515
    8, 1994.21 ,        1.71561,        1.79761,        1.74806,              0.63511,           0.44933,          0.51767,             0.25545,      1.76394,      1.67774,      1.81273, 0.0082675 , 0.0082675 , 0.0082675
    9, 2241.41 ,        1.68982,        1.73598,        1.72439,              0.63975,           0.49327,          0.54541,             0.26899,      1.7538 ,      1.62082,      1.77711, 0.00802   , 0.00802   , 0.00802
   10, 2489.88 ,        1.67394,        1.69768,        1.70298,              0.65942,           0.49327,          0.56299,             0.28582,      1.71514,      1.55137,      1.73454, 0.0077725 , 0.0077725 , 0.0077725
   11, 2737.27 ,        1.65246,        1.64069,        1.68244,              0.68968,           0.50531,          0.58157,             0.2976 ,      1.70656,      1.49013,      1.72837, 0.007525  , 0.007525  , 0.007525
   12, 2985.39 ,        1.63439,        1.60619,        1.67188,              0.67194,           0.5428 ,          0.60659,             0.31356,      1.67255,      1.45409,      1.69504, 0.0072775 , 0.0072775 , 0.0072775
